Code Domaine,Domaine,Code zone,Zone,Code année,Année,Code Produit,Produit,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole,Note
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","","112.751259","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7010","Octobre","","115.433559","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7011","Novembre","","113.834697","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7012","Décembre","","110.86839","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7001","Janvier","","115.034763","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7002","Février","","114.368617","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7003","Mars","","115.225918","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7004","Avril","","115.892064","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7005","Mai","","118.000562","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7006","Juin","","119.280721","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7007","Juillet","","116.992654","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7008","Août","","117.525571","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7009","Septembre","","117.902088","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7010","Octobre","","119.309684","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7011","Novembre","","118.776767","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7012","Décembre","","117.566119","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","79","Allemagne","2018","2018","23014","Food price inflation","7001","Janvier","%","2.616279","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","79","Allemagne","2018","2018","23014","Food price inflation","7002","Février","%","0.570342","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","79","Allemagne","2018","2018","23014","Food price inflation","7003","Mars","%","2.611219","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","79","Allemagne","2018","2018","23014","Food price inflation","7004","Avril","%","3.109815","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","79","Allemagne","2018","2018","23014","Food price inflation","7005","Mai","%","3.206997","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","79","Allemagne","2018","2018","23014","Food price inflation","7006","Juin","%","3.310613","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","79","Allemagne","2018","2018","23014","Food price inflation","7007","Juillet","%","2.524272","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","79","Allemagne","2018","2018","23014","Food price inflation","7008","Août","%","2.332362","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","79","Allemagne","2018","2018","23014","Food price inflation","7009","Septembre","%","2.804642","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","79","Allemagne","2018","2018","23014","Food price inflation","7010","Octobre","%","1.823417","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","79","Allemagne","2018","2018","23014","Food price inflation","7011","Novembre","%","1.534036","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","79","Allemagne","2018","2018","23014","Food price inflation","7012","Décembre","%","1.047619","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","79","Allemagne","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","","105.901305","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","79","Allemagne","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","","105.801304","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","79","Allemagne","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","","106.101307","X","Sources internationales sûres","base year is 2015"
