Zone,Difference de population,Disponibilité alimentaire Kcal,Disponibilité alimentaire Protéine,Proportion Protéine Animale,Disponibilité alimentaire Kcal - volaille,Solde importation - Quantité,Production,PIB
Libéria,7.288456753497795,2132.0,39.89,0.24517422913010778,36.0,10.207922623946512,2.9460490022818964,1515.6432504542402
Lituanie,-4.431347327801623,3419.0,125.18,0.6152740054321776,96.0,-8.434636836167725,44.49516941319529,33821.1954485172
Luxembourg,6.3168387085874524,3335.0,106.06,0.6353950594003395,69.0,16.894460306465508,0.4561504282745688,112822.605827833
Macédoine du Nord,0.20268972142170028,3000.0,80.68,0.40815567674764497,68.0,18.73198847262248,0.8242074927953891,15528.9100300467
Madagascar,7.74571958087656,1903.0,42.94,0.21425244527247322,14.0,0.0,1.821981649955359,1584.4226783367599
Malaisie,3.9802730459915248,2909.0,78.91,0.5474591306551768,142.0,0.7715888138911705,52.99821730834457,26648.329652005697
Malawi,7.813437312537501,2647.0,68.02,0.16847985886503972,17.0,0.0,7.363470702085998,1037.54586753623
Maldives,12.367042707493955,2252.0,81.72,0.6008321096426824,47.0,24.174053182917003,0.0,17988.6899992013
Mali,8.525190912268142,2926.0,84.91,0.2731127075727241,9.0,0.05401775995911936,2.592852478037729,2248.2608160313603
Malte,1.7651222798164132,3460.0,116.35,0.5755049419853889,103.0,20.551229648573972,8.394035576461992,41554.937907741
Maroc,3.9034322852626016,3380.0,98.07,0.2798001427551749,70.0,0.05620937994027754,19.39223607939575,7314.15448711835
Maurice,0.564650059311989,3127.0,88.56,0.4369918699186992,128.0,1.5816528272044286,37.56425464610518,21415.1161096211
Mauritanie,8.211657953051548,2842.0,79.82,0.36882986720120275,11.0,5.6041115498403995,1.0956038079937982,5077.19547171931
Mexique,3.5440655401157857,3260.0,93.4,0.46884368308351176,123.0,7.717748706255271,25.73934910607152,19795.868495015602
Mongolie,5.577768571419391,2371.0,82.39,0.6813933729821581,9.0,3.2115203658564,0.0706534480488408,11311.793821186899
Monténégro,0.1465995283319458,3481.0,113.31,0.6060365369340747,55.0,12.74778507234368,5.816176939256804,19627.0816303639
Mozambique,8.24750724457591,2304.0,51.21,0.17555165006834603,13.0,0.8377249902439944,3.104888055507658,1283.6598698098599
Myanmar,2.06378417504456,2701.0,93.35,0.47852169255490096,116.0,0.05619817123657707,28.099085618288534,4739.91011751543
Namibie,5.377856765294699,2431.0,62.17,0.36625382017050023,40.0,7.075579677270324,4.329006130781685,10050.5012073122
Népal,2.62985711121759,2866.0,73.7,0.17177747625508819,7.0,0.0,2.072473607337399,3099.30608193814
Nicaragua,3.792101615543056,2629.0,66.15,0.3333333333333333,93.0,0.9397245040995481,22.351660571509118,6004.03178872477
Niger,10.934906246441367,2579.0,81.89,0.1523995603858835,3.0,0.13887358707697947,0.8651824474895822,1161.65706546159
Nigéria,7.580062034887655,2464.0,55.92,0.1275035765379113,2.0,0.0,1.0388465140529914,5190.354386357089
Norvège,2.908806664237302,3385.0,110.16,0.5856027596223675,66.0,0.3776199745861757,17.17113548438258,62940.58749865481
Nouvelle-Calédonie,3.395273317697986,2752.0,82.77,0.5835447625951432,136.0,32.473389861086055,3.1751758975284146,33722.0
Nouvelle-Zélande,2.8604666495109563,3156.0,90.95,0.5708631115997801,140.0,-4.678830207378516,46.99736071441484,41493.0341264557
Oman,13.68794645440459,2931.0,85.14,0.4956542165844492,73.0,23.575150077262197,1.3920054522892542,29083.236685353197
Ouganda,10.33622167879341,2144.0,52.35,0.2078319006685769,5.0,0.0,1.6522864779424287,2074.86024139593
Ouzbékistan,4.797874077981762,3022.0,93.54,0.4004703870002138,6.0,0.46933990158880945,1.8738239124299354,6518.804686606601
Pakistan,6.06100221825985,2326.0,66.25,0.42052830188679247,20.0,-0.009619722277655873,6.137382813144447,4571.41449087153
Panama,5.002958529452598,2839.0,79.48,0.5309511826874685,117.0,4.870007329361029,48.246188610513855,30454.7638063039
Paraguay,3.8958448011230518,2740.0,72.02,0.46709247431269096,22.0,-0.43686817939554917,6.151540834068728,12594.3414272628
Pays-Bas,0.7568729859852369,3249.0,104.62,0.6541770216019881,70.0,-47.587294779791264,60.76597919671472,55347.9123930263
Pérou,4.30583603387577,2769.0,78.42,0.3764345830145371,62.0,1.8763337075399993,46.57594540186934,12506.530170530601
Philippines,4.430598253752171,2674.0,62.68,0.4101786853860881,48.0,2.3485130631998183,12.047472671912821,8120.84230884125
Pologne,-0.3633687611947042,3525.0,103.08,0.537640667442763,107.0,-25.55780569638697,38.80312532441287,30152.741569648
Polynésie française,1.5936254980079803,2924.0,97.95,0.6599285349668198,167.0,54.32814197754436,2.4846070264396958,17095.2
Portugal,-1.2605299299316686,3492.0,114.49,0.6351646432002795,109.0,3.693433367060212,30.900235504974955,33086.0967739013
République centrafricaine,2.8685688922154418,1758.0,46.44,0.43712316968130926,8.0,0.87031823186148,1.4458161626798838,912.80205230035
République de Corée,0.9560552383121846,3369.0,97.02,0.5065965780251495,62.0,2.5637803979222027,15.00692220707439,41001.0668862273
République de Moldova,-0.3382039963740989,2395.0,63.36,0.4862689393939394,55.0,3.9411973357506014,10.946429275213811,11651.317454686201
République démocratique populaire lao,4.5055177383097655,3047.0,83.2,0.24158653846153846,41.0,5.896709779765081,3.725426181103778,7257.807931652729
République dominicaine,3.3093949453538927,2864.0,66.88,0.5139055023923444,123.0,3.424299207655211,32.25594734188774,16735.3325857593
République populaire démocratique de Corée,1.4630062410955986,2032.0,52.25,0.2017224880382775,8.0,0.0,1.223838303283978,1700.0
République-Unie de Tanzanie,8.59815361558307,2396.0,59.78,0.1562395449983272,6.0,0.03658960043058642,1.8263882002929364,2530.4384534645496
Roumanie,-1.943424152982828,3525.0,106.73,0.489646772228989,66.0,3.9177835317750045,22.185848457080173,30907.4227912592
Royaume-Uni,1.9548323883450731,3428.0,104.05,0.5621335896203749,120.0,6.294260264065199,24.877314377019594,38489.4963100125
Rwanda,7.489633551902351,2215.0,59.24,0.14770425388251182,5.0,0.0,1.3246017013661677,27191.6686640869
Sainte-Lucie,1.4644929538546436,2661.0,86.45,0.6038172353961828,241.0,55.2638850511191,8.847747996684168,45974.8643523571
Saint-Kitts-et-Nevis,2.4591738712776063,2515.0,76.97,0.6403793685851631,190.0,76.84918347742556,2.3439000960614793,1975.2524530498001
Saint-Vincent-et-les Grenadines,0.8831831011563315,2960.0,89.42,0.5421605904719302,243.0,81.94482381862879,4.1427660930529004,25355.517177451602
Samoa,1.602252367545429,2974.0,85.75,0.6181924198250729,217.0,87.02329152802662,2.400819042743793,12245.014843148601
Sao Tomé-et-Principe,5.4855376889275265,2418.0,52.05,0.30413064361191167,33.0,9.657636776280844,3.515379786566227,14945.7590049427
Sénégal,8.071741026696978,2612.0,60.62,0.21461563840316727,16.0,0.0,4.188438552857287,6495.38772370331
Serbie,-0.7776090277848752,2805.0,82.5,0.48509090909090913,35.0,0.5662751440320829,9.628716039063926,3915.7323746975603
Sierra Leone,6.293316881264678,2449.0,55.68,0.23850574712643677,10.0,1.869553256895313,2.0431546307498776,3203.9007579397
Slovaquie,0.3505938067879267,2769.0,62.72,0.5884885204081632,48.0,5.139595073331008,12.785844086712313,16534.3390831059
Slovénie,0.4286285331753713,3195.0,98.39,0.5498526272995223,83.0,-4.334445841099216,30.45477968975,1642.6065930855402
Soudan,6.9480856777430935,2433.0,67.88,0.3112846199175015,5.0,0.04900351355192167,1.666119460765337,36650.8021903461
Sri Lanka,1.6069647761764843,2613.0,64.38,0.29092885989437717,26.0,-0.09466097880398694,9.087453965182746,4362.57840927293
Suède,2.1481287039748045,3219.0,107.21,0.6309112955880982,61.0,6.158567981504104,15.39641995376026,12584.1044231151
Suisse,2.9541852929350183,3413.0,95.58,0.6120527306967986,55.0,5.558315002720027,10.65576290829963,52739.011387671904
Suriname,3.0201577563540787,2693.0,60.26,0.40989047461002326,112.0,22.787028921998242,16.001752848378615,67139.0499217186
Tadjikistan,7.065550934825185,2104.0,55.39,0.24282361437082503,18.0,4.279149170013975,0.2026965396322409,16341.4489178575
Tchad,9.011137563054591,2090.0,70.51,0.3087505318394554,2.0,0.06659230525912731,0.42505868446900963,3089.5302083565803
Tchéquie (la),0.46912751867065566,3276.0,86.48,0.6148242368177613,82.0,8.363851995530506,14.28254595654744,1587.03105963951
Thaïlande,1.114090618078561,2827.0,61.0,0.42918032786885246,47.0,-11.472362082774104,25.05851410370871,17420.5651510671
Timor-Leste,5.544294837765236,2140.0,57.73,0.2712627749870085,14.0,8.847706835255698,0.7584897768769203,3165.79942372693
Togo,7.280277769478874,2429.0,57.32,0.16050244242847173,24.0,2.0783350457948138,4.5180405976772,1516.5260461051
Trinité-et-Tobago,1.5685736167507216,3043.0,84.65,0.4991139988186651,189.0,16.61777668598182,46.17357629004523,26447.59327228
Tunisie,3.2382205180593044,3467.0,98.98,0.2849060416245706,57.0,-0.34985096348955347,12.271022544396086,10605.257207270699
Turkménistan,5.06003296472358,2871.0,92.85,0.4311254711900916,15.0,1.5631323087290518,3.710528738187496,14205.0215776646
Turquie,4.792110601487124,3540.0,101.23,0.3533537488886694,71.0,-5.251709116954699,26.341562038279537,27934.1673292162
Ukraine,-1.4022299641856137,3035.0,86.19,0.43380902656920756,78.0,-3.416673953323289,26.62982652961908,11871.123624091799
Uruguay,1.0533544392196976,3153.0,84.43,0.5342887599194599,33.0,0.0,9.371944690162485,21324.846002731898
Vanuatu,7.57241427620749,2623.0,63.73,0.3974580260473874,40.0,14.010017162271025,3.9788448740849707,3121.1143757527802
Venezuela (République bolivarienne du),-2.1783536626842417,2247.0,56.28,0.4507818052594172,71.0,0.8502684127325314,20.406441905580753,4263.0
Viet Nam,3.051564656268206,2938.0,90.03,0.40886371209596806,48.0,3.06551804876605,8.312353033515098,7155.745829218771
Yémen,7.225949368452887,2063.0,53.23,0.20026300958106333,30.0,2.80224553275358,6.10382966370898,643.2
Zambie,8.626109555228544,2013.0,59.09,0.19783381282788964,11.0,0.6526795462097119,2.8878696539611717,3485.00210305873
Zimbabwe,4.564857174365498,2173.0,51.21,0.22690880687365747,16.0,0.4214492374929671,4.846666231169121,3028.2459759056396
